Symbol,Description,Quantity,Currency,LastPrice,PricePaid,DayChange,ProfitLoss,MarketValue,ProfitLossPercentage
AEYE,AudioEye Inc,-4603,USD,6.77,7.13521616337171,0.16,"1,681.09",31162.31,5.12
AIT,Applied Industrial Technologies Inc.,298,USD,102.08,98.75,0.07,992.34,30419.84,3.37
ALLK,Allakos Inc,-4562,USD,5.98,7.5656159579132,0.38,"7,233.58",27280.76,20.96
ALSN,Allison Transmission Holdings Inc,525,USD,39.525,40.65,0.09,-590.63,20750.625,-2.77
ALX,Alexander`s Inc.,113,USD,249.1501,254.18,-0.83,-568.38,28153.9613,-1.98
AOSL,Alpha & Omega Semiconductor Ltd,475,USD,54.59,47.41,0.46,"3,410.50",25930.25,15.14
APVO,Aptevo Therapeutics Inc,-2655,USD,4.785,7.93,0.05,"8,349.98",12704.175,39.66
ARCH,Arch Resources Inc - Ordinary Shares - Class A,190,USD,145.235,146.79,4.45,-295.45,27594.65,-1.06
ARLP,"Alliance Resource Partners, LP - Unit",2083,USD,14.42,13.34,0.67,"2,249.64",30036.86,8.10
ASO,Academy Sports and Outdoors Inc,165,USD,35.99,46.64,-0.10,"-1,757.25",5938.35,-22.83
ASTS,AST SpaceMobile Inc - Ordinary Shares - Class A,-3031,USD,9.27,7.62,0.07,"-5,001.15",28097.37,-21.65
AVXL,Anavex Life Sciences Corporation,-2615,USD,12.21,10.43,0.51,"-4,654.70",31929.15,-17.07
BECN,Beacon Roofing Supply Inc - Ordinary Shares - Class A,507,USD,63.0185,56.28,0.76,"3,416.42",31950.3795,11.97
BL,BlackLine Inc,-400,USD,71.42,70.3,1.74,-448.00,28568,-1.59
BPMP,BP Midstream Partners LP - Unit,1723,USD,16.6,15.94,0.23,"1,137.18",28601.8,4.14
BSIG,BrightSphere Investment Group Inc,1200,USD,25.63,23.39,0.24,"2,688.00",30756,9.58
BSM,Black Stone Minerals L.P. - Unit,2382,USD,12.15,12.28,0.60,-309.66,28941.3,-1.06
BTCS,BTCS Inc,-3840,USD,3.7308,5.7,-0.05,"7,561.73",14326.272,34.55
BTU,Peabody Energy Corp. - Ordinary Shares New,1303,USD,21.96,22.77,1.72,"-1,055.43",28613.88,-3.56
BYND,Beyond Meat Inc,-631,USD,46.08,42.26,2.12,"-2,410.42",29076.48,-9.04
BYRN,Byrna Technologies Inc,-2863,USD,10.01,9.8,0.45,-601.23,28658.63,-2.14
CC,Chemours Company,945,USD,29.18,30.2,0.34,-963.90,27575.1,-3.38
CDAK,Codiak Biosciences Inc,-2853,USD,5.69,6.47840504354608,0.47,"2,249.32",16233.57,12.17
