ticker,rnk,position,trade,price,permaticker,siccode,lastupdated,firstadded,firstpricedate,lastpricedate,firstquarter,lastquarter,isdelisted,table_,name,exchange,category,cusips,sicsector,sicindustry,famasector,famaindustry,sector,industry,scalemarketcap,scalerevenue,relatedtickers,currency,location,secfilings,companysite
STSA,1.0,0.0,-0.0,0.65,110552,2834.0,2022-11-18,2019-09-16,2019-09-13,2022-11-18,2017-12-31,2022-09-30,N,SEP,SATSUMA PHARMACEUTICALS INC,NASDAQ,Domestic Common Stock,80405P107,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,Healthcare,Biotechnology,3 - Small,,,USD,California; U.S.A,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001692830,http://www.satsumarx.com
APYX,2.0,0.0,-0.0,1.46,198846,3841.0,2022-11-11,2014-10-31,1999-02-22,2022-11-18,1997-09-30,2022-09-30,N,SF1,APYX MEDICAL CORP,NASDAQ,Domestic Common Stock,03837C106 10211F100,Manufacturing,Surgical & Medical Instruments & Apparatus,,Medical Equipment,Healthcare,Medical Devices,3 - Small,2 - Micro,BVX,USD,Florida; U.S.A,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000719135,http://apyxmedical.com
NOTV,3.0,-1184.0,1184.0,23.1073,198829,8731.0,2022-11-18,2014-12-03,1997-11-25,2022-11-18,1996-12-31,2022-06-30,N,SEP,INOTIV INC,NASDAQ,Domestic Common Stock,45783Q100 09058M103,Services,Services-Commercial Physical & Biological Research,,Business Services,Healthcare,Diagnostics & Research,3 - Small,3 - Small,BASI,USD,Indiana; U.S.A,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000720154,
TMBR,4.0,0.0,-0.0,1.56,124763,2834.0,2022-11-18,2016-10-08,2015-06-09,2022-11-18,2013-12-31,2022-09-30,N,SEP,TIMBER PHARMACEUTICALS INC,NYSEMKT,Domestic Common Stock,09072X101 887080109 09072X309,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,Healthcare,Biotechnology,2 - Micro,1 - Nano,BPMX,USD,New Jersey; U.S.A,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001504167,http://www.timberpharma.com
KINS,5.0,0.0,-0.0,0.97,124568,6331.0,2022-11-15,2016-11-22,1999-10-26,2022-11-18,1996-03-31,2022-09-30,N,SF1,KINGSTONE COMPANIES INC,NASDAQ,Domestic Common Stock,496719105 233065200 233065101,Finance Insurance And Real Estate,Fire Marine & Casualty Insurance,,Insurance,Financial Services,Insurance - Property & Casualty,2 - Micro,2 - Micro,EXTH DCAP,USD,New York; U.S.A,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000033992,http://www.kingstonecompanies.com
BCLI,6.0,0.0,-0.0,1.53,195839,2836.0,2022-11-15,2016-07-26,2003-10-08,2022-11-18,2006-12-31,2022-09-30,N,SF1,BRAINSTORM CELL THERAPEUTICS INC,NASDAQ,Domestic Common Stock,10501E201 10501E102,Manufacturing,Biological Products (No Disgnostic Substances),,Pharmaceutical Products,Healthcare,Biotechnology,3 - Small,,,USD,New York; U.S.A,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001137883,http://www.brainstorm-cell.com
VQS,7.0,0.0,-0.0,0.268,635980,7370.0,2022-11-18,2021-08-13,2021-08-13,2022-11-18,2019-12-31,2022-09-30,N,SEP,VIQ SOLUTIONS INC,NASDAQ,ADR Common Stock,91825V400,Services,Services-Computer Programming Data Processing Etc.,,Business Services,Technology,Software - Application,2 - Micro,1 - Nano,VQSLF,USD,Ontario; Canada,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001777765,
JNCE,8.0,0.0,-0.0,0.895,124327,2836.0,2022-11-10,2017-03-23,2017-01-27,2022-11-18,2014-12-31,2022-09-30,N,SF1,JOUNCE THERAPEUTICS INC,NASDAQ,Domestic Common Stock,481116101,Manufacturing,Biological Products (No Disgnostic Substances),,Pharmaceutical Products,Healthcare,Biotechnology,3 - Small,2 - Micro,,USD,Massachusetts; U.S.A,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001640455,http://jouncetx.com
MYO,9.0,0.0,-0.0,0.664,121824,3842.0,2022-11-18,2017-11-05,2017-06-12,2022-11-18,2016-06-30,2022-09-30,N,SEP,MYOMO INC,NYSEMKT,Domestic Common Stock,62857J201 62857J102,Manufacturing,Orthopedic Prosthetic & Surgical Appliances & Supplies,,Medical Equipment,Healthcare,Medical Devices,2 - Micro,1 - Nano,,USD,Massachusetts; U.S.A,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001369290,http://www.myomo.com
LUMO,10.0,0.0,-0.0,4.81,195941,2834.0,2022-11-14,2015-04-03,2011-11-11,2022-11-18,2009-12-31,2022-09-30,N,SF1,LUMOS PHARMA INC,NASDAQ,Domestic Common Stock,651511107 55028X109,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,Healthcare,Biotechnology,3 - Small,2 - Micro,NLNK,USD,Texas; U.S.A,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001126234,http://www.lumos-pharma.com
