ticker,price
A,148.0
AA,49.21
AAC,10.0
AAC.U,10.01
AAC.WS,0.048
AACG,1.71
AACI,9.97
AACIW,0.031
AADI,13.41
AAIC,3.12
AAIC-PB,17.85
AAIC-PC,21.08
AAL,14.61
AAM-PA,24.29
AAM-PB,24.62
AAMC,19.5
AAME,2.96
AAN,10.76
AAOI,2.35
AAON,80.24
AAP,183.94
AAPL,150.04
AAQC,10.01
AAQC.U,10.01
AAQC.WS,0.006
AAT,28.24
AATC,4.15
AAU,0.256
AAWW,100.46
AB,40.52
ABB,31.31
ABBV,153.04
ABC,152.78
ABCB,52.61
ABCL,14.49
ABCM,16.9
ABEO,4.04
ABEV,3.0
ABG,180.27
ABGI,10.0
ABIO,2.0
ABM,45.05
ABMD,374.2
ABNB,107.01
ABOS,6.45
ABR,14.84
ABR-PD,18.71
ABR-PE,17.81
ABSI,3.115
ABST,9.53
ABT,103.14
ABUS,2.79
ABVC,0.717
AC,41.15
ACA,59.65
ACAB,10.07
ACAC,10.08
ACAD,15.69
ACAH,9.89
ACAHW,0.02
ACAQ,10.18
ACAQ.U,10.15
ACAQ.WS,0.1
ACAX,9.9
ACAXR,0.15
ACAXU,10.04
ACAXW,0.04
ACB,1.54
ACBA,10.54
ACBAW,0.09
ACCD,9.55
ACCO,5.48
ACDC,24.6
ACDCW,0.06
ACDI,10.23
ACDI.U,10.22
AJX,8.15
ACDI.WS,0.02
ACEL,9.04
ACER,1.21
ACET,20.34
ACEV,10.3
ACEVU,10.3
ACEVW,0.17
ACGL,56.21
ACGLN,18.5
ACGLO,21.77
ACHC,81.16
ACHL,1.73
ACHR,2.69
ACHR.WS,0.5
ACHV,2.32
ACI,20.73
ACII,10.03
ACII.U,10.023
ACIU,2.61
ACIW,21.61
ACLS,78.1
ACLX,21.75
ACM,79.81
ACMR,9.7
ACN,292.65
ACNB,38.24
ACNT,10.95
ACON,0.988
ACONW,0.27
ACOR,0.653
ACQR,10.01
ACR,10.11
ACR-PC,21.77
ACR-PD,18.96
ACRE,12.23
ACRO,9.84
ACRO.U,9.85
ACRS,17.98
ACRX,2.52
ACST,0.497
ACT,25.74
ACTG,3.94
ACU,25.39
ACVA,8.74
ACXP,3.12
ADAG,1.19
ADAL,10.16
ADALU,10.19
ADAP,2.38
ADBE,345.96
ADC,69.59
ADC-PA,17.04
ADCT,4.41
ADD,0.96
ADEA,10.28
ADER,9.975
ADERU,10.1
ADERW,0.3
ADES,2.84
ADEX,9.975
ADI,165.17
ADIL,0.294
ADILW,0.03
ADM,94.53
ADMA,3.24
ADMP,0.215
ADN,1.96
ADNT,40.11
ADNWW,0.255
ADOCR,0.05
ADOCW,0.02
ADP,253.32
ADPT,9.09
ADRA,10.04
ADRT,10.12
ADRT.U,10.1
ADSE,5.41
ADSEW,0.593
ADSK,232.3
ADT,9.25
ADTH,2.04
ADTN,21.54
ADTX,1.86
ADUS,106.26
ADV,2.65
ADVM,0.701
ADVWW,0.209
ADXN,0.815
AE,40.38
AEAC,10.01
AEACW,0.007
AEAE,10.06
AEAEU,10.03
AEAEW,0.15
AEE,83.42
AEG,4.72
AEHA,10.24
AEHL,0.53
AEHR,25.65
AEI,0.156
AEIS,93.28
AEL,36.89
AEL-PA,21.46
AEL-PB,23.84
AEM,48.1
AEMD,0.455
AENZ,0.8
AEO,13.02
AEP,89.22
AEPPZ,49.938
AER,58.41
AERC,3.26
AERI,15.23
